Timestamp,IP,UserAgent,Status,Method_DELETE,Method_GET,Method_POST,Method_PUT
1695810485.0,118.43.179.161,"Mozilla/5.0 (iPad; CPU iPad OS 5_1_1 like Mac OS X) AppleWebKit/536.2 (KHTML, like Gecko) FxiOS/10.6p7938.0 Mobile/63S273 Safari/536.2",404,False,False,True,False
1679419849.0,26.119.97.28,Mozilla/5.0 (compatible; MSIE 8.0; Windows 95; Trident/4.1),404,True,False,False,False
1676646573.0,62.62.166.161,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/533.50.5 (KHTML, like Gecko) Version/4.0.2 Safari/533.50.5",201,True,False,False,False
1678287637.0,109.204.131.174,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_5) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/59.0.810.0 Safari/533.2",404,False,False,False,True
1695705546.0,118.104.103.242,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/532.11.6 (KHTML, like Gecko) Version/5.0.4 Safari/532.11.6",200,False,False,True,False
1679797402.0,112.190.101.221,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/26.0.874.0 Safari/531.2",500,False,True,False,False
1680329484.0,15.120.57.41,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_0 rv:3.0; sk-SK) AppleWebKit/532.32.4 (KHTML, like Gecko) Version/4.0.3 Safari/532.32.4",201,True,False,False,False
1685923734.0,44.244.66.8,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Trident/5.0),201,False,False,True,False
1689804545.0,126.189.95.94,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/16.0.802.0 Safari/532.1",200,False,False,False,True
1693621449.0,99.98.34.165,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; ln-CD) AppleWebKit/535.46.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B113 Safari/6535.46.3",404,False,True,False,False
1678571229.0,215.32.129.74,Opera/9.19.(X11; Linux i686; tr-CY) Presto/2.9.160 Version/10.00,201,True,False,False,False
1682903888.0,4.85.2.29,Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Trident/5.1),500,False,False,True,False
1684793622.0,103.249.22.127,Opera/8.28.(Windows NT 5.0; so-KE) Presto/2.9.187 Version/11.00,500,False,False,False,True
1683689929.0,223.219.243.166,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/4.0),500,False,False,False,True
1676602591.0,22.100.145.228,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/37.0.810.0 Safari/532.2",201,False,False,False,True
1680819663.0,117.230.99.123,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/536.2 (KHTML, like Gecko) CriOS/27.0.833.0 Mobile/60A397 Safari/536.2",200,True,False,False,False
1679795993.0,202.114.227.254,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.1),201,False,False,False,True
1693129912.0,201.225.211.115,Mozilla/5.0 (Android 3.2.1; Mobile; rv:41.0) Gecko/41.0 Firefox/41.0,500,False,False,False,True
1695931897.0,177.204.88.245,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; rw-RW) AppleWebKit/535.37.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B116 Safari/6535.37.5",500,False,False,True,False
1675253585.0,159.189.183.34,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_0; rv:1.9.5.20) Gecko/6303-10-12 18:01:02 Firefox/6.0,404,False,False,True,False
1694795884.0,76.132.122.137,Opera/9.69.(Windows NT 4.0; tk-TM) Presto/2.9.165 Version/11.00,500,False,False,False,True
1690271412.0,190.127.220.254,Mozilla/5.0 (Windows NT 5.2; mk-MK; rv:1.9.1.20) Gecko/7184-03-19 14:20:25 Firefox/3.6.2,500,False,False,True,False
1693573651.0,64.160.76.206,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; is-IS) AppleWebKit/531.15.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B117 Safari/6531.15.1",200,False,False,False,True
1686669508.0,64.85.63.162,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Trident/4.1),201,False,False,False,True
1676511258.0,22.38.133.88,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_10_5) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/18.0.821.0 Safari/532.0",200,False,True,False,False
1692271641.0,18.143.76.147,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/9145-05-13 20:08:52 Firefox/3.6.1,500,False,False,True,False
1684908070.0,215.138.0.246,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/8874-06-24 07:57:59 Firefox/3.6.4,201,False,True,False,False
1674996503.0,51.93.91.246,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_8 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) CriOS/21.0.841.0 Mobile/35F349 Safari/533.0",404,False,False,False,True
1686724083.0,189.157.254.61,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_10_5; rv:1.9.3.20) Gecko/9849-10-27 17:58:47 Firefox/3.8,201,False,True,False,False
1677712778.0,85.162.117.121,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/536.1 (KHTML, like Gecko) CriOS/37.0.848.0 Mobile/51E096 Safari/536.1",201,False,False,True,False
1687267671.0,92.9.138.1,Opera/9.10.(Windows NT 6.1; hu-HU) Presto/2.9.184 Version/10.00,201,False,True,False,False
1687868916.0,206.68.91.229,Opera/9.75.(Windows NT 5.2; mk-MK) Presto/2.9.175 Version/11.00,201,True,False,False,False
1691033771.0,73.166.249.219,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_2) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/16.0.810.0 Safari/536.2",500,False,False,True,False
1688980296.0,144.222.48.4,Mozilla/5.0 (Android 11; Mobile; rv:44.0) Gecko/44.0 Firefox/44.0,201,True,False,False,False
1676261606.0,15.215.34.95,Mozilla/5.0 (Windows NT 5.0; ur-PK; rv:1.9.2.20) Gecko/9595-12-23 19:46:24 Firefox/3.8,500,True,False,False,False
1692611661.0,145.43.138.209,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/8570-03-08 11:10:56 Firefox/7.0,500,False,False,False,True
1679522616.0,148.159.208.91,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.0; Trident/3.1),404,False,False,True,False
1692050085.0,145.226.169.59,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; eu-ES) AppleWebKit/533.49.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B111 Safari/6533.49.7",404,False,False,True,False
1688892505.0,104.159.43.72,Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/3.0),500,False,False,False,True
1694275660.0,178.220.36.28,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/5.1),404,False,True,False,False
1682099886.0,105.244.246.121,Mozilla/5.0 (compatible; MSIE 6.0; Windows 95; Trident/4.0),201,False,False,True,False
1685921001.0,46.248.255.27,Mozilla/5.0 (Windows NT 5.2; mag-IN; rv:1.9.0.20) Gecko/5513-12-18 09:17:03 Firefox/3.6.14,500,False,False,True,False
1692475054.0,161.2.72.96,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.1; Trident/4.0),500,True,False,False,False
1685090927.0,44.120.200.94,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; ce-RU) AppleWebKit/534.44.2 (KHTML, like Gecko) Version/3.0.5 Mobile/8B112 Safari/6534.44.2",500,False,False,False,True
1683796405.0,27.70.215.210,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_7) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/39.0.840.0 Safari/536.0",404,False,False,True,False
1675622269.0,153.206.99.187,Mozilla/5.0 (Windows NT 4.0; bem-ZM; rv:1.9.1.20) Gecko/7013-09-27 18:54:22 Firefox/3.8,201,True,False,False,False
1691491243.0,66.180.235.238,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/5.0),404,False,False,True,False
1689179045.0,217.194.67.7,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; ln-CD) AppleWebKit/531.16.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B119 Safari/6531.16.1",404,False,True,False,False
1690262286.0,143.152.229.188,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; Trident/5.1),201,False,False,True,False
1680101481.0,116.221.252.153,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; ne-NP) AppleWebKit/533.16.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B114 Safari/6533.16.1",201,False,False,True,False
1674155674.0,107.123.6.132,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.0; Trident/4.0),404,False,True,False,False
1685917194.0,2.167.48.97,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_11_7 rv:6.0; ast-ES) AppleWebKit/533.34.2 (KHTML, like Gecko) Version/4.0.2 Safari/533.34.2",200,False,True,False,False
1683085164.0,83.55.212.143,Mozilla/5.0 (Windows 98; Win 9x 4.90; hu-HU; rv:1.9.0.20) Gecko/9775-02-07 01:49:57 Firefox/5.0,201,False,False,False,True
1677735641.0,9.64.96.231,Opera/9.76.(Windows NT 10.0; shs-CA) Presto/2.9.183 Version/12.00,200,False,False,False,True
1684069044.0,200.192.178.255,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) CriOS/34.0.899.0 Mobile/15Z419 Safari/534.0",200,False,False,True,False
1675419563.0,49.59.57.231,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/533.6.4 (KHTML, like Gecko) Version/4.1 Safari/533.6.4",201,True,False,False,False
1693039454.0,106.1.182.166,"Mozilla/5.0 (Windows NT 5.0) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/49.0.850.0 Safari/532.0",200,False,False,True,False
1677274557.0,25.180.65.189,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/18.0.859.0 Safari/535.1",201,True,False,False,False
1674974698.0,193.133.9.110,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_10_1) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/14.0.808.0 Safari/536.1",201,False,True,False,False
1675822786.0,57.101.66.174,Mozilla/5.0 (Windows NT 5.0; szl-PL; rv:1.9.2.20) Gecko/6471-03-28 01:41:08 Firefox/3.6.16,500,False,True,False,False
1685665735.0,83.195.143.118,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; yo-NG) AppleWebKit/532.31.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6532.31.3",500,False,False,True,False
1694953200.0,141.53.8.120,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_10_6 rv:5.0; hr-HR) AppleWebKit/535.14.1 (KHTML, like Gecko) Version/4.0 Safari/535.14.1",500,True,False,False,False
1683511294.0,34.185.161.24,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2 like Mac OS X) AppleWebKit/534.1 (KHTML, like Gecko) CriOS/30.0.875.0 Mobile/04S570 Safari/534.1",500,False,False,True,False
1681632607.0,167.41.254.201,Opera/8.84.(Windows NT 5.01; sw-TZ) Presto/2.9.170 Version/10.00,200,False,False,False,True
1690820664.0,52.228.17.124,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/532.45.4 (KHTML, like Gecko) Version/5.0.3 Safari/532.45.4",200,False,False,False,True
1680373804.0,46.243.181.160,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/5.0),201,False,True,False,False
1674198188.0,46.139.203.189,Opera/8.11.(Windows 98; lg-UG) Presto/2.9.171 Version/12.00,404,False,False,True,False
1687929078.0,148.218.169.176,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_4 rv:5.0; kl-GL) AppleWebKit/531.46.6 (KHTML, like Gecko) Version/5.0.5 Safari/531.46.6",200,False,False,True,False
1686287701.0,106.249.233.58,"Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) FxiOS/16.6b7986.0 Mobile/73X309 Safari/533.0",404,False,False,True,False
1693383243.0,179.39.232.52,"Mozilla/5.0 (Linux; Android 4.3.1) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/55.0.840.0 Safari/532.0",404,True,False,False,False
1687480742.0,35.75.250.86,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_9; rv:1.9.4.20) Gecko/9613-04-03 15:41:54 Firefox/14.0,500,False,False,True,False
1679630936.0,198.1.200.141,Mozilla/5.0 (Android 4.3; Mobile; rv:29.0) Gecko/29.0 Firefox/29.0,200,False,False,True,False
1675759832.0,187.39.253.143,Mozilla/5.0 (Windows 98; hy-AM; rv:1.9.1.20) Gecko/8501-04-18 15:05:32 Firefox/3.6.4,200,False,False,False,True
1685748252.0,171.13.108.34,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/26.0.851.0 Safari/532.1",500,False,False,True,False
1686215078.0,46.87.249.95,Opera/8.29.(X11; Linux i686; mr-IN) Presto/2.9.184 Version/12.00,201,False,False,True,False
1689581609.0,162.225.205.131,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/536.1 (KHTML, like Gecko) FxiOS/10.6k0626.0 Mobile/30O467 Safari/536.1",404,False,False,False,True
1686221862.0,80.57.222.156,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; eu-ES) AppleWebKit/533.40.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B117 Safari/6533.40.5",201,False,True,False,False
1686471154.0,218.139.87.91,"Mozilla/5.0 (Linux; Android 4.0.3) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/16.0.886.0 Safari/532.1",201,False,True,False,False
1681011236.0,164.254.103.35,Mozilla/5.0 (Android 10; Mobile; rv:7.0) Gecko/7.0 Firefox/7.0,404,True,False,False,False
1675456362.0,69.122.192.175,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_3; rv:1.9.2.20) Gecko/4975-04-18 10:27:39 Firefox/3.6.10,201,False,False,False,True
1680503350.0,76.255.72.129,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.0),201,True,False,False,False
1685143524.0,35.159.182.27,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 4.0; Trident/5.0),404,False,False,False,True
1675640181.0,5.37.9.251,Opera/9.94.(X11; Linux i686; rw-RW) Presto/2.9.160 Version/11.00,404,False,True,False,False
1681504979.0,52.192.54.3,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.1),404,False,False,True,False
1673471173.0,54.157.30.240,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/43.0.871.0 Safari/533.0",200,False,False,False,True
1675876130.0,141.164.128.233,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; st-ZA) AppleWebKit/535.31.6 (KHTML, like Gecko) Version/4.0.5 Mobile/8B118 Safari/6535.31.6",404,False,True,False,False
1686094324.0,71.38.31.181,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/60.0.808.0 Safari/531.2",404,False,False,False,True
1678340991.0,142.173.108.85,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/62.0.846.0 Safari/536.2",201,False,False,False,True
1687586820.0,38.230.104.71,"Mozilla/5.0 (iPad; CPU iPad OS 5_1_1 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) CriOS/61.0.852.0 Mobile/76X614 Safari/534.0",201,False,True,False,False
1694751704.0,181.240.56.21,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.0; Trident/5.0),201,False,True,False,False
1690032909.0,2.189.79.202,Opera/8.33.(Windows NT 6.2; ks-IN) Presto/2.9.161 Version/11.00,200,False,False,True,False
1694494833.0,193.99.242.67,Mozilla/5.0 (compatible; MSIE 9.0; Windows 95; Trident/3.1),500,False,True,False,False
1682753560.0,131.119.146.181,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_11_4 rv:4.0; he-IL) AppleWebKit/532.6.7 (KHTML, like Gecko) Version/4.0.5 Safari/532.6.7",404,False,False,False,True
1675363414.0,170.29.129.77,"Mozilla/5.0 (Windows 95) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/26.0.846.0 Safari/533.0",404,True,False,False,False
1681756586.0,160.225.156.34,Opera/8.88.(X11; Linux i686; lt-LT) Presto/2.9.185 Version/11.00,201,False,True,False,False
1677919499.0,132.67.156.151,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/29.0.851.0 Safari/534.2",404,False,False,False,True
1688029296.0,143.234.250.235,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_4 rv:4.0; en-NZ) AppleWebKit/531.43.5 (KHTML, like Gecko) Version/5.1 Safari/531.43.5",200,False,False,False,True
1690941726.0,24.113.220.160,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) FxiOS/16.4b3794.0 Mobile/22E205 Safari/534.0",500,False,False,True,False
1689257272.0,207.141.67.44,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; ml-IN) AppleWebKit/533.13.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6533.13.1",404,False,False,False,True
1689748582.0,204.242.130.149,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; ne-NP) AppleWebKit/534.15.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B116 Safari/6534.15.3",404,True,False,False,False
1672836831.0,152.53.88.230,"Mozilla/5.0 (Linux; Android 4.0.3) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/45.0.849.0 Safari/533.0",500,False,True,False,False
1672974422.0,153.83.220.158,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.1; Trident/3.0),200,False,False,True,False
1675674438.0,151.88.55.62,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) CriOS/55.0.860.0 Mobile/11I945 Safari/533.2",500,False,False,False,True
1677759377.0,217.53.199.209,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/29.0.800.0 Safari/531.2",500,False,False,True,False
1681814895.0,54.33.53.118,Opera/9.87.(X11; Linux x86_64; szl-PL) Presto/2.9.187 Version/11.00,201,False,False,False,True
1690409803.0,156.26.205.207,Opera/9.15.(X11; Linux x86_64; he-IL) Presto/2.9.164 Version/12.00,200,False,False,False,True
1691117913.0,63.179.220.153,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/531.0 (KHTML, like Gecko) CriOS/58.0.859.0 Mobile/60H573 Safari/531.0",500,False,True,False,False
1683877915.0,157.170.200.128,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_9; rv:1.9.5.20) Gecko/7962-06-04 21:47:55 Firefox/10.0,500,False,False,True,False
1678165309.0,18.244.4.102,"Mozilla/5.0 (Linux; Android 2.2) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/14.0.861.0 Safari/536.2",404,False,False,False,True
1687642386.0,38.81.227.7,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_7) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/30.0.836.0 Safari/535.1",201,True,False,False,False
1693864045.0,209.57.72.62,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/531.13.6 (KHTML, like Gecko) Version/5.0 Safari/531.13.6",201,False,True,False,False
1672532208.0,216.128.24.36,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0),404,True,False,False,False
1683829010.0,114.25.255.41,Opera/8.28.(Windows 98; tn-ZA) Presto/2.9.182 Version/12.00,404,False,False,False,True
1692000773.0,223.250.72.70,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/532.48.2 (KHTML, like Gecko) Version/5.0.5 Safari/532.48.2",404,False,False,False,True
1685733674.0,104.17.82.116,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/3.0),500,False,False,False,True
1678435719.0,55.240.231.237,Opera/8.61.(X11; Linux i686; ss-ZA) Presto/2.9.187 Version/12.00,500,True,False,False,False
1685930667.0,207.240.38.112,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; gd-GB) AppleWebKit/531.13.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6531.13.5",404,False,True,False,False
1683090570.0,219.158.230.241,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_12_7 rv:2.0; tig-ER) AppleWebKit/533.36.4 (KHTML, like Gecko) Version/5.0.2 Safari/533.36.4",500,False,True,False,False
1688588287.0,90.234.129.25,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/9496-06-05 22:23:15 Firefox/5.0,500,True,False,False,False
1675951146.0,16.95.54.251,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/534.42.2 (KHTML, like Gecko) Version/4.1 Safari/534.42.2",500,False,True,False,False
1676419324.0,20.230.239.113,"Mozilla/5.0 (Windows 98; Win 9x 4.90) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/27.0.828.0 Safari/531.0",200,False,False,False,True
1673145121.0,15.26.105.82,"Mozilla/5.0 (Linux; Android 3.2.2) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/34.0.814.0 Safari/535.1",500,True,False,False,False
1692691938.0,149.68.40.189,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.0; Trident/3.0),201,False,True,False,False
1691499994.0,58.53.31.214,Opera/8.23.(Windows NT 5.01; bem-ZM) Presto/2.9.185 Version/10.00,500,True,False,False,False
1676835679.0,101.40.252.23,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/4252-07-10 21:12:46 Firefox/3.8,404,False,True,False,False
1683306420.0,24.87.194.13,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; id-ID) AppleWebKit/531.13.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B116 Safari/6531.13.3",500,False,False,False,True
1682933608.0,114.224.229.16,Opera/8.92.(X11; Linux x86_64; be-BY) Presto/2.9.162 Version/12.00,201,False,False,True,False
1679728970.0,154.46.198.29,Opera/9.41.(X11; Linux i686; wo-SN) Presto/2.9.176 Version/12.00,200,False,True,False,False
1673674164.0,202.97.237.156,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_6 rv:6.0; sq-ML) AppleWebKit/535.47.5 (KHTML, like Gecko) Version/4.0 Safari/535.47.5",404,False,False,False,True
1688404805.0,50.170.17.125,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_6 rv:2.0; da-DK) AppleWebKit/534.23.5 (KHTML, like Gecko) Version/4.0 Safari/534.23.5",500,False,True,False,False
1672842547.0,10.124.138.225,"Mozilla/5.0 (iPad; CPU iPad OS 9_3_5 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) CriOS/16.0.886.0 Mobile/51J797 Safari/534.2",500,False,False,True,False
1687683965.0,131.12.89.100,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; dv-MV) AppleWebKit/532.46.4 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6532.46.4",500,False,True,False,False
1696132722.0,36.42.15.60,Opera/9.36.(Windows 98; Win 9x 4.90; te-IN) Presto/2.9.171 Version/11.00,200,True,False,False,False
